"Country","mean_pred30","mean_err30","aoa_prop","mean_pred30_aoa","mean_err30_aoa","Area","Area_lower","Area_upper"
"Albania",169.69,119.07,82.2,162.9,117.6,79.0133552158356,47.8454573106271,89.3282994389665
"Algeria",148.01,121.23,67.4,142.25,117.78,26.9187603047855,16.3002873817905,30.4329195294028
"Angola",145.73,125.95,0,141.75,123.97,17.0442321191678,10.3209018022642,19.2693028449339
"Antigua and Barbuda",155.27,122.89,46.3,154.77,121.32,0.376006988937378,0.22768589295516,0.425093514978474
"Argentina",166.46,126.78,9.2,166.75,121.04,2429.47540581479,1471.13562635844,2746.63575464435
"Australia",170.04,116.91,64.7,172.86,110.87,2080.50935246204,1259.82400235591,2352.11328407242
"Bahamas",156.85,123.63,39.3,154.76,120.45,116.288657717422,70.4170072683354,131.469775072347
"Bangladesh",118.82,137.07,0.7,127.67,122.04,202.473914797001,122.605311728288,228.906245534824
"Belgium",172.65,113.5,86.2,170.14,112.3,6.06585344817913,3.67309464855138,6.85773147706094
"Belize",163.39,118.6,73.7,159.31,115.09,64.1709246535688,38.8578263473167,72.5482363971364
"Benin",165.67,124.67,5.7,168.67,122.27,53.9399810088806,32.6626182579727,60.9816753399655
"Bosnia and Herzegovina",209.65,128.16,0.8,184.24,121.43,5.98149285337991,3.62201124339614,6.76235787278241
"Brazil",164.26,126.19,34.7,171.06,117.32,1066.11251621558,645.569862760297,1205.29014144496
"Brunei",198.3,145.74,0,NA,NA,0.338590637825012,0.205028932939021,0.382792577283208
"Bulgaria",200.18,122.97,58.5,193.87,121.78,19.5452872134247,11.8353815306205,22.0968627905006
"Cambodia",165.66,124.28,34.4,163.94,121.92,15.8003365167736,9.56767782157573,17.863020596345
"Canada",186.27,143.71,3.2,227.79,115.79,8534.31634695434,5167.83861839796,9648.44441885965
"Chile",234.62,127.9,33.4,201.6,118.49,458.621619559732,277.71205336662,518.493224965656
"China",124.07,121.81,34.7,108.41,117.65,1167.50933841173,706.969322567654,1319.92399885495
"Colombia",169.39,126.63,18.3,171.12,121.27,45.9311336580963,27.8129702081898,51.9272982367837
"Comores",175.09,128.91,0.7,180.72,124.15,0.123980985397339,0.0750749911575582,0.140166311860302
"Costa Rica",148.61,125.81,2.6,149.71,122.89,15.0034336748886,9.08512419759691,16.9620846028131
"Croatia",202.58,124.31,29.6,193.42,119.34,51.7616174455203,31.3435399756611,58.5189332865083
"Cuba",178.55,119.92,90.9,179.13,119.44,783.790957436207,474.613901561717,886.112393938482
"Cyprus",158.61,117.93,89.5,155.27,117.28,2.98048062389374,1.80478930512597,3.36957296543026
"Democratic Republic of the Congo",163.24,126.34,0.5,151.15,123.9,2.22677493231596,1.34839312510482,2.517473373884
"Denmark",171.42,118.18,48.6,162.38,113.05,263.729987562333,159.698089354354,298.159105326558
"Dominican Republic",195.03,123.26,41.8,174.84,120.22,17.3728014126358,10.5198624470978,19.6407658229733
"East Timor",167.97,126.55,34.2,163.53,123.11,0.298483620544433,0.180742676800262,0.33744971544097
"Ecuador",136.89,128.7,0.9,142.66,124.01,0.954283135490417,0.577853109726031,1.07886178790645
"Egypt",146.63,117.09,92.3,144.07,116.26,176.829119791245,107.076456620996,199.913603454666
"El Salvador",154.25,122.8,50.5,153.2,121.55,3.80319875887262,2.30297502699899,4.29969435711789
"Equatorial Guinea",178.7,125.79,2,176.41,122.11,0.217272890823364,0.13156662939131,0.245637181188194
"Estonia",219.54,116.9,23.4,211.06,113.97,269.4490538246,163.161191762301,304.624777644757
"Federal Republic of Somalia",117.15,123.44,45.9,116.13,122.9,0.267443812446594,0.161946945253128,0.302357758331722
"Finland",188.37,123.47,11.4,177.93,118.58,8.03611084325791,4.86615708501776,9.08519975857699
"France",162.98,118.64,81.6,158.25,116.74,678.473853407935,410.840568672625,767.046474272325
"Gabon",162.03,125.04,53.6,159.02,122.01,34.6934576750412,21.0081491111841,39.2225791108802
"Gambia",132,127.25,0.3,145.79,122.13,40.4971861632628,24.52251757291,45.783966041509
"Georgia",234.36,121.84,63.2,232.56,119.57,65.0394757817459,39.3837656117839,73.5301741346736
"Germany",157.88,113.02,71.9,143.1,109.33,346.034734309341,209.536603820535,391.208477076202
"Ghana",145.83,124.38,5.8,146.91,122.5,16.9567131174088,10.267905866943,19.1703585136322
"Greece",170.87,118.55,83.2,166.81,117.18,213.349755002252,129.191028115551,241.201892363783
"Guatemala",192.07,125.12,33.8,199.25,121.86,11.556800858574,6.99806280363475,13.0655047470291
"Guinea",171.9,154.93,0,NA,NA,3.28094929707336,1.98673400341813,3.70926687586477
"Guinea-Bissau",136.49,134.55,2.2,125.01,121.68,68.8186609540682,41.6721995396607,77.8027200072839
"Guyana",170.37,141.28,0,NA,NA,33.2818420594754,20.1533645688865,37.6266815305847
"Haiti",157.6,127,4.1,184.12,119.6,38.6446420082626,23.4007347800898,43.689578092159
"Honduras",175.59,128.01,0.3,150.88,121.36,393.118293545925,238.047409586633,444.43864641465
"India",139.07,132.23,8.1,153,120.2,52.3024802493057,31.6710520540779,59.1304040228158
"Indonesia",178.56,139.57,0.1,180.18,122.09,170.730555923566,103.383554624997,193.018891316046
"Iran",209.04,127.41,15.5,128.88,114.06,11.0989706204453,6.72082996047723,12.5479062158434
"Iraq",211.93,129.93,0,NA,NA,1.53767723656464,0.931119433905924,1.73841614817035
"Ireland",165.85,108.88,90.4,162.14,106.94,130.694863422589,79.1404882316713,147.756665478345
"Israel",142.25,111.1,100,142.25,111.1,0.0875695382995605,0.0530265370326058,0.0990014652280889
"Italy",164.25,115.97,89.3,160.04,114.87,228.717124624892,138.496528752097,258.575423604048
