system:index,saltmarsh,.geo
1284,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[175.35244601729258,-37.21248606583015]}"
1285,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.83480726273919,29.686310783948386]}"
1286,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.68152138923082,31.67949273635278]}"
1287,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.9676269247238,51.98348428260744]}"
1288,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[149.3543033795895,59.74950974534912]}"
1289,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.362647787080125,44.845381203465315]}"
1290,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[22.575426657915077,38.835112963535245]}"
1291,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-162.98156657662582,59.896653788887896]}"
1292,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.1902365585397146,51.34990251271795]}"
1293,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.02585147798031,55.21688031626725]}"
1294,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[138.57613693766666,53.81793392430792]}"
1295,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.25149912878743,54.06829439399203]}"
1296,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[0.20926254543564254,52.821612442690956]}"
1297,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.185655150590705,6.522712193756052]}"
1298,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.783773417993505,44.60633950636111]}"
1299,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.46399478219159,-42.07767181309307]}"
1300,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[156.50668967174914,56.96131876649895]}"
1301,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.14999903828962,59.37302580977463]}"
1302,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.71164823728641,29.80839183106023]}"
1303,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.37209878273478,18.563191272923646]}"
1304,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.34726411235643,14.301134407418578]}"
1305,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.51619604876264,39.56786874079154]}"
1306,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.88683178642665,40.77520448264817]}"
1307,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[161.8968508710515,57.934463713785625]}"
1308,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.82701771134984,35.667473608672985]}"
1309,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-16.328542172147927,16.363037479058114]}"
1310,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.51254497607071,30.71497161579365]}"
1311,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.50388163491512,57.28659873087863]}"
1312,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.29991374831963,31.49165501044339]}"
1313,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.584388593455635,45.422099615870046]}"
1314,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-15.344347946866577,13.494806608392896]}"
1315,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.59986122168712,30.996323962779886]}"
1316,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.00837549847664,29.798151036821267]}"
1317,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-2.716640166470051,36.68804960296117]}"
1318,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.20131824455135,42.031318744432504]}"
1319,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[155.98899057351107,56.61906064324941]}"
1320,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.39159679868203,30.104566380234438]}"
1321,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.74922652791833,5.929554611651932]}"
1322,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.43466104093754,22.574618174159372]}"
1323,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.2917893963345,29.65828334708386]}"
1324,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.50933848673898,56.051235552157465]}"
1325,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-136.53175101406745,58.33223772159375]}"
1326,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.22097928053662,55.89735414398779]}"
1327,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.1490637407067,38.367809352736266]}"
1328,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.52812242474079,29.832646343731458]}"
1329,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.72347855334567,13.722260038331958]}"
1330,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-2.2129547866642354,47.36138265122727]}"
1331,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.608426848815224,45.151257557708014]}"
1332,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.31102998643344,37.339687510061474]}"
1333,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-158.12069274272667,58.95611768641476]}"
1334,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.4162014889032,18.456201922585013]}"
1335,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.01956365903547,49.1909813903935]}"
1336,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[132.34218819199083,-12.34460371860626]}"
1337,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.95388270087678,32.10583317019591]}"
1338,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.16322510222282,-51.6336803109713]}"
1339,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.5258770245745,-37.79055195116106]}"
1340,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.0235599469515,-42.043446000768114]}"
1341,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.43875504288107,-33.34631674603656]}"
1342,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.63885725358162,55.21364638124442]}"
1343,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.96173921238528,29.50413244432895]}"
1344,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.18145798231721,30.322587499690243]}"
1345,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.86015347659692,29.87549598278396]}"
1346,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.25180648369209,3.5380596622689415]}"
1347,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.6440050963922,30.219371073544913]}"
1348,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.394448148137954,44.82597759332833]}"
1349,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.25573035918649,55.256765514882154]}"
1350,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.72687385429792,51.23860124901554]}"
1351,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.599495667183014,-38.92377668207784]}"
1352,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[155.9703954471298,53.789098003687684]}"
1353,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.13552205132575,31.95464670787859]}"
1354,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.622454290093046,46.61946405807296]}"
1355,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[155.97659382259022,56.449818043721294]}"
1356,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.27094390746107,18.912725749974552]}"
1357,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.38018362029186,18.55187250034374]}"
1358,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.84294533756987,53.11239710016045]}"
1359,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.94331917477898,56.793154145311775]}"
1360,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.95367685819347,-18.868528637995873]}"
1361,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.58569820606239,-53.13341767780884]}"
1362,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.3933339635862,32.64401385691191]}"
1363,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.12181568779815,-29.88654526077863]}"
1364,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.29982810302906,58.42763880476724]}"
1365,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.03742933051713,32.56478244885257]}"
1366,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.27162012508708,28.15962395858726]}"
1367,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.78144733486249,30.10780031525727]}"
1368,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.06670652628034,53.28541262388187]}"
1369,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.79407241183192,52.96740901330356]}"
1370,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.35045687884259,39.442823253242096]}"
1371,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.06360816560444,57.03812472329117]}"
1372,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.1656297242333,52.55427381413699]}"
1373,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.46780887492156,52.12874186404957]}"
1374,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.1587929914663,53.33877255175857]}"
1375,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.98351007418994,46.002860447053315]}"
1376,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.06920935229494,46.01202326295134]}"
1377,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[137.06993170078346,55.09533825832588]}"
1378,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-51.05884836066322,-31.073129919572104]}"
1379,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.600584060152276,58.96123808353424]}"
1380,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.54811826132185,22.574348679574136]}"
1381,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-163.2691172990725,59.85622960110252]}"
1382,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.36124873098896,-36.144748519125685]}"
1383,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.68085393212451,-20.072360950244445]}"
1384,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.78788775921704,55.24005685059753]}"
1385,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.54466641487876,-33.65246259486449]}"
1386,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[139.0784748445463,-35.388277218368636]}"
1387,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.78583993119098,56.18733031770157]}"
1388,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.37923790808061,-38.69551476838307]}"
1389,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.46167745958029,37.304653213980814]}"
1390,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.23574659134238,39.29298426385096]}"
1391,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.74009281182003,29.060813851615965]}"
1392,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.17711862326233,52.89275901319323]}"
1393,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.40571699166149,34.63369237970824]}"
1394,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.048851269427,47.1684245281984]}"
1395,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.84716284512338,25.391106084459306]}"
1396,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.1125705348268,46.38257831765064]}"
1397,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.34769828108831,37.09606440500826]}"
1398,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.175836456346694,-37.48144166189554]}"
1399,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.56579346707436,45.403504489488775]}"
1400,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.95509625356465,29.337045801482716]}"
1401,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.42590329397169,22.488379906883896]}"
1402,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.25703831768463,29.012574320858747]}"
1403,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.40094677209196,39.035347440365484]}"
1404,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.35549493888875,-34.77571602612754]}"
1405,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.16418122906239,-39.31939473320408]}"
1406,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[156.66676945537924,57.0241110048589]}"
1407,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.847116714260869,57.79513501321869]}"
1408,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[131.36607880426655,42.92604076741554]}"
1409,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.24651430601487,29.702749953647775]}"
1410,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-78.05843287710273,33.91252486961709]}"
1411,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-158.24816368154325,57.2337777921724]}"
1412,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.13642494089171,53.855393671655705]}"
1413,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.5917006634912,42.672176868123366]}"
1414,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.29929407618444,29.451581000207955]}"
1415,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.38145041025332,29.63268136148645]}"
1416,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.13463784693118,49.24191586700308]}"
1417,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[162.39379888622642,56.3829833865828]}"
1418,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.38794407188148,25.429104820977564]}"
1419,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.61441392928987,52.352422369795335]}"
1420,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.50653541223082,15.246790907011198]}"
1421,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.06922638335773,53.090568038756345]}"
1422,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-156.8392459899302,59.01944891394518]}"
1423,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.46937260515938,29.914033708472687]}"
1424,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.28753072024432,15.441365997551486]}"
1425,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-162.56061603448742,59.995558301669455]}"
1426,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.825368335821473,52.25756027579231]}"
1427,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.94478684509791,36.63603714801065]}"
1428,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.259161866349555,44.82786405542498]}"
1429,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[140.63992647140284,53.121559916058466]}"
1430,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.64802006947964,55.15893898044154]}"
1431,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-132.5448481200882,56.70556840511012]}"
1432,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.8127669063493,53.2571156924321]}"
1433,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[152.40606006280035,-32.47018984943478]}"
1434,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.79865381978092,51.88377128607018]}"
1435,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.78178213545827,46.70058192822895]}"
1436,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-9.630254256110714,53.295114428950356]}"
1437,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.11892862210803,55.58123699550613]}"
1438,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.96852981428978,53.049065872630024]}"
1439,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.47787458038555,54.1898364519334]}"
1440,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[144.47995481642857,-38.23171458719216]}"
1441,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.16984061535235,-39.31346585232889]}"
1442,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.36569787280828,55.97793302497331]}"
1443,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[143.28986672802702,59.392159925326375]}"
1444,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.905315475934877,44.758334452434134]}"
1445,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.46377307257748,55.883879414725996]}"
1446,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.760691289473485,45.41886568084722]}"
1447,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.49640274664766,21.454868172504387]}"
1448,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.71292709598481,39.28894184507242]}"
1449,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.23783558790511,51.2841458339204]}"
1450,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.16202692648912,52.80140034879827]}"
1451,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.46107151029067,22.537427921396823]}"
1452,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.48298125465948,33.018880824974985]}"
1453,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.8154294441847,37.47200935141228]}"
1454,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.81137495666923,58.04522598831756]}"
1455,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.24409761526746,36.67107144409132]}"
1456,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.44657369407014,29.87468749902825]}"
1457,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.99728339783669,45.224021095721696]}"
1458,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.58126609530585,30.93622667027229]}"
1459,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.96966268401295,29.784945802144712]}"
1460,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.66679028463588,28.90962738929865]}"
1461,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[155.93832559148672,53.91198753455523]}"
1462,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.28715309700327,51.31190377619969]}"
1463,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.03326175201998,40.81859311087115]}"
1464,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[176.49752850995975,-37.774112781461675]}"
1465,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.4436487680606,54.281464610913595]}"
1466,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.1690200628597,51.52130106892795]}"
1467,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.99790803229772,31.30893768165348]}"
1468,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.94317318580373,-31.917456455116042]}"
1469,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[139.8104221380469,-37.20601819578449]}"
1470,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.526177763044686,45.3533784966349]}"
1471,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.35944626007425,28.91286132432148]}"
1472,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.59173190737616,46.58901116994131]}"
1473,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.10076221215618,52.41090269479151]}"
1474,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[46.86820756024565,-24.995757527918304]}"
1475,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.688858086716884,-18.140623763273826]}"
1476,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.23604353161872,31.687308079324623]}"
1477,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.55423595381755,29.747486054796926]}"
1478,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.32865526312959,32.50333768341879]}"
1479,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.12776159973612,29.797342553065562]}"
1480,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.83247456317372,42.792101958553324]}"
1481,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.44459282616323,57.25722382108792]}"
1482,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.97839960172215,57.287407214634335]}"
1483,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.37514390613708,57.10846281003773]}"
1484,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.86822459130843,29.501706993061827]}"
1485,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[146.97574417029784,-38.50686855871797]}"
1486,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.884485364015624,2.4929596607242903]}"
1487,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.06828397936371,29.28018244399795]}"
1488,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.08054515593763,53.14096352619545]}"
1489,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.29596573535134,52.800861359627795]}"
1490,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.71966115239848,-19.788044162820615]}"
1491,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-163.00662957305278,59.92845414994573]}"
1492,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.53199851526406,-25.131852293462412]}"
1493,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.114982263248372,44.899280120512486]}"
1494,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.76473867057787,29.91133876262033]}"
1495,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.14795997078326,29.691970170238342]}"
1496,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.04429896127772,19.012708241097055]}"
1497,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.36414786541602,55.048176705909604]}"
1498,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[168.35474961705833,-46.53403427455319]}"
1499,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.06555993371163,43.705958097088114]}"
1500,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.07516402475262,57.00066497594339]}"
1501,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.69823550581792,40.865485168702186]}"
1502,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.20797658032615,18.422245604845294]}"
1503,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.06464497540871,53.15147381501965]}"
1504,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.144087678453843,44.855891492289516]}"
1505,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.90897151095265,52.68255323670925]}"
1506,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.99673233992928,53.12317688356988]}"
1507,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.67484933061047,28.199239662616932]}"
1508,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.61665056893646,32.96228696207546]}"
1509,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.67098034649828,37.91398047119909]}"
1510,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.39594822647385,54.475770206868646]}"
1511,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-66.68117997220058,48.0343106305612]}"
1512,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.93910166722547,30.27461746351826]}"
1513,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.67331139195514,39.283551953367706]}"
1514,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.50545743388987,13.84245462334715]}"
1515,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.37564834320537,55.89789313315826]}"
1516,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.81311542979063,26.830746158789253]}"
1517,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.7518973362968,29.231134429485024]}"
1518,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.860311534309105,-28.579766016969963]}"
1519,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.34762090634084,55.879567501362224]}"
1520,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.618398148468952,45.20219203431759]}"
1521,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.63761790931126,56.11564475802883]}"
1522,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.52066222164476,-38.07325177107348]}"
1523,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.94028777422223,29.7517979681607]}"
1524,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-158.1492591687617,58.99115198249542]}"
1525,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[22.66705481689527,36.80824418797636]}"
1526,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.58900075531298,55.176995117652346]}"
1527,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.212093065634928,56.91631317076456]}"
1528,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.77601627462111,32.56774688929016]}"
1529,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.353550277192643,43.4766182050524]}"
1530,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[20.9468708793348,39.04477975084874]}"
1531,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.10567511248372,38.39556729501556]}"
1532,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[137.85496942757553,54.97164024370262]}"
1533,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.8592972078700827,54.843899810300826]}"
1534,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.62187909471176,29.85905681308457]}"
1535,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-1.7723311398036101,48.60563915126122]}"
1536,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.47048844381975,51.14427814418299]}"
1537,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.3731218696935,32.60439815288224]}"
1538,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-1.6082089373949735,49.23059709442317]}"
1539,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.87226701008697,30.11938858242241]}"
1540,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.11877387261308,29.801384971844097]}"
1541,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.86424037212936,53.348474356827055]}"
1542,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.56376101600246,48.820426335694194]}"
1543,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-163.04759275000862,59.8785976516771]}"
1544,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.15452224663919,18.820019612653418]}"
1545,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[156.13775158456124,56.75758086006064]}"
1546,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.716077039825706,-18.15787141672892]}"
1547,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[120.6132448533559,33.51690681849085]}"
